GSM1493702|N/A|N/A|N/A|N/A|N/A|N/A|Skin|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493703|N/A|N/A|N/A|N/A|N/A|N/A|Skin|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493704|N/A|N/A|N/A|N/A|N/A|N/A|Skin|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493705|N/A|N/A|N/A|N/A|N/A|N/A|Skin|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493706|N/A|N/A|N/A|N/A|N/A|N/A|Skin|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493707|N/A|N/A|N/A|N/A|N/A|N/A|Skin|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493708|N/A|N/A|N/A|N/A|N/A|N/A|Skin|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493709|N/A|N/A|N/A|N/A|N/A|N/A|Skin|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493710|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493711|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493712|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493713|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493714|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493715|N/A|N/A|N/A|N/A|N/A|N/A|Skin|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493716|N/A|N/A|N/A|N/A|N/A|N/A|Skin|N/A|N/A|N/A|N/A|N/A|N/A
GSM1493717|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|N/A|N/A|N/A|N/A
