GSM1179497|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179498|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179499|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179500|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179501|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179502|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179503|N/A|N/A|N/A|N/A|N/A|healthy|Liver|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179504|N/A|N/A|N/A|N/A|N/A|healthy|Liver|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179505|N/A|N/A|N/A|N/A|N/A|healthy|Liver|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179506|N/A|N/A|N/A|N/A|N/A|healthy|Liver|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179507|N/A|N/A|N/A|N/A|N/A|healthy|Liver|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179508|N/A|N/A|N/A|N/A|N/A|healthy|Muscle|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179509|N/A|N/A|N/A|N/A|N/A|healthy|Muscle|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179510|N/A|N/A|N/A|N/A|N/A|healthy|Muscle|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179511|N/A|N/A|N/A|N/A|N/A|healthy|Muscle|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179512|N/A|N/A|N/A|N/A|N/A|healthy|Muscle|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179513|N/A|N/A|N/A|N/A|N/A|healthy|Muscle|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179514|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179515|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179516|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179517|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179518|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179519|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179520|N/A|N/A|N/A|N/A|N/A|healthy|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179521|N/A|N/A|N/A|N/A|N/A|healthy|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179522|N/A|N/A|N/A|N/A|N/A|healthy|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179523|N/A|N/A|N/A|N/A|N/A|healthy|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179524|N/A|N/A|N/A|N/A|N/A|healthy|Adipose|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179525|N/A|N/A|N/A|N/A|N/A|healthy|Adipose|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179526|N/A|N/A|N/A|N/A|N/A|healthy|Adipose|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179527|N/A|N/A|N/A|N/A|N/A|healthy|Adipose|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179528|N/A|N/A|N/A|N/A|N/A|healthy|Adipose|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1179529|N/A|N/A|N/A|N/A|N/A|healthy|Adipose|N/A|in_vivo|N/A|N/A|N/A|N/A
